category,rating,label,text_
Home_and_Kitchen_5,1,CG,"Missing information on how to use it, but it is a great product for the price!  I"
Home_and_Kitchen_5,3,CG,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.
Home_and_Kitchen_5,3,CG,These done fit well and look great.  I love the smoothness of the edges and the extra
Home_and_Kitchen_5,1,CG,These are so flimsy! They are not the quality you would expect from a piece of furniture.
Home_and_Kitchen_5,2,CG,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can
Home_and_Kitchen_5,3,CG,These are okay they are not as nice as the ones I got from my local store but they are
Home_and_Kitchen_5,3,CG,gave them away - thought it would be a good addition to my kitchen!  I am very
Home_and_Kitchen_5,3,CG,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we
Home_and_Kitchen_5,1,CG,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a"
Home_and_Kitchen_5,2,CG,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
"
Home_and_Kitchen_5,3,CG,"Alright for the price,but was a little disappointed with the quality of the product."
Home_and_Kitchen_5,1,CG,I put paper in one corner of the cabinet and put a piece of paper in the other corner.
Home_and_Kitchen_5,1,CG,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw"
Home_and_Kitchen_5,3,CG,"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair"
Home_and_Kitchen_5,2,CG,The turquoise is almost neon. It's a very bright pink.
Home_and_Kitchen_5,3,CG,Nice soft sheets but I find it difficult to put them on a bed that is too warm and doesn
Home_and_Kitchen_5,3,CG,Need to buy two to go with the wide wooden legs of the bedding. I have one in
Home_and_Kitchen_5,1,CG,"I ordered the light blue, and it arrived with a very small opening.  The yellow was just"
Home_and_Kitchen_5,1,CG,"Terrible, complete waste of money. Not a whole lot to say."
Home_and_Kitchen_5,2,CG,Too much work.  This is an easy way to make a smoothie that is perfect for the
Home_and_Kitchen_5,3,CG,Just okay. Did not fit my containers well. We love this blanket.
Home_and_Kitchen_5,1,CG,"CHEAP CHINA.  Not a big deal, but it is a little pricey for a"
Home_and_Kitchen_5,3,CG,"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional"
Home_and_Kitchen_5,1,CG,"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now"
Home_and_Kitchen_5,2,CG,the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.
Home_and_Kitchen_5,1,CG,I like the clock although it has the design flaw which is that it is a little hard to read
Home_and_Kitchen_5,2,CG,Just OK. Am buying a second set.I love these containers.  They work well and look
Home_and_Kitchen_5,3,CG,Nice but the size of the containers is a little small for a cup of tea.Very pretty.
Home_and_Kitchen_5,1,CG,seems to have a defective seal. The only way to fix it is to just throw the container
Home_and_Kitchen_5,1,CG,Not what I expected my old ones to be. I will keep them for the future.
Home_and_Kitchen_5,2,CG,"Very flimsy for blackout curtains. Not an easy task to put together. Also, the dimensions are"
Home_and_Kitchen_5,1,CG,Tiny spatulas. Unless you are using a professional spatula you will need to make sure the
Home_and_Kitchen_5,3,CG,I thought this would be a good addition to my kitchen.  I also have a large kitchen.
Home_and_Kitchen_5,3,CG,Does not fit my husbands bed.  It's just too small.  I would order one.
Home_and_Kitchen_5,2,CG,This is not what I wanted. The quality is just what I wanted. The dimensions are just what
Home_and_Kitchen_5,3,CG,"I wish I had bought this sooner, but it is a great product for the price!  It"
Home_and_Kitchen_5,1,CG,Doesn't fit queen bed. The material is too thick and thin for a queen bed.
Home_and_Kitchen_5,1,CG,"These curtains weren't as wide as I expected.  I was expecting a tighter curtain, but the"
Home_and_Kitchen_5,3,CG,The pillow is excessively firm.  I have an older version of this pillow that is a little larger
Home_and_Kitchen_5,3,CG,"Look nice but is too small for my liking.Very good quality.Nice, sturdy, and functional"
Home_and_Kitchen_5,3,CG,Fit well.  Not as thick as the ones we have but it's still a very nice one
Home_and_Kitchen_5,1,CG,"The scale is not accurate, it is just a bit too large.

The scale has a"
Home_and_Kitchen_5,3,CG,"These sheets are very thin, and have a wide opening. I will be purchasing a different size for"
Home_and_Kitchen_5,2,CG,Loved it. Stopped working within a week and the only thing I did was turn it off
Home_and_Kitchen_5,2,CG,Worked for awhile. Lasted only a couple weeks. Wife loved it.
Home_and_Kitchen_5,3,CG,"Definitely not the highest quality, but I thought it would be better."
Home_and_Kitchen_5,3,CG,They don't stick to the wall. The only reason I gave it 4 stars is because the one
Home_and_Kitchen_5,1,CG,I haven't even had it yet. The only reason I gave it 4 stars is because I just
Home_and_Kitchen_5,1,CG,Product is not of good quality. The pieces are thin and it's difficult to hold the cup.
Home_and_Kitchen_5,3,CG,"Very cute but the plastic doesn't stick to the walls.

The only reason I gave it"
Home_and_Kitchen_5,1,OR,The product arrived dried up and useless...perhaps laid on the shelf for years.  Returned it.
Home_and_Kitchen_5,1,OR,"although this is really nice stoneware, it is REALLY REALLY heavy
too heavy for my arthritic hands"
Home_and_Kitchen_5,2,OR,I returned this. It was much smaller than I expected and there was a bent pole.
